ADM4_EN,ADM3_EN,ADM4_PCODE,pop,pop_est
Barangay 259,City of Manila,PH1303901259,2014.0,3120.713894027063
Barangay 260,City of Manila,PH1303901260,1935.0,1826.596197891078
Barangay 261,City of Manila,PH1303901261,800.0,713.2265443874493
Barangay 262,City of Manila,PH1303901262,3638.0,2067.8129806670468
Barangay 263,City of Manila,PH1303901263,1317.0,697.8709723863299
Barangay 264,City of Manila,PH1303901264,2758.0,1194.080636178543
Barangay 265,City of Manila,PH1303901265,146.0,683.1414904731955
Barangay 266,City of Manila,PH1303901266,2072.0,1255.7516884944782
Barangay 267,City of Manila,PH1303901267,1780.0,600.294076940589
Barangay 287,City of Manila,PH1303901287,3117.0,5897.063071645519
Barangay 288,City of Manila,PH1303901288,2800.0,1716.9580889640442
Barangay 289,City of Manila,PH1303901289,1352.0,2054.653079921953
Barangay 290,City of Manila,PH1303901290,1713.0,2656.527258529186
Barangay 291,City of Manila,PH1303901291,2537.0,4911.954428524963
Barangay 292,City of Manila,PH1303901292,3113.0,2474.573838362064
Barangay 293,City of Manila,PH1303901293,3708.0,5880.693170174375
Barangay 294,City of Manila,PH1303901294,1905.0,2340.0535111701597
Barangay 295,City of Manila,PH1303901295,1417.0,1194.592885326579
Barangay 296,City of Manila,PH1303901296,2273.0,1617.2302048271754
Barangay 383,City of Manila,PH1303901383,2529.0,946.1379185355712
Barangay 384,City of Manila,PH1303901384,3830.0,2681.2268431850944
Barangay 385,City of Manila,PH1303901385,3549.0,3432.3475142043158
Barangay 386,City of Manila,PH1303901386,1245.0,3415.7871850859137
Barangay 387,City of Manila,PH1303901387,2678.0,1672.7006401218616
Barangay 388,City of Manila,PH1303901388,1553.0,1164.6852856276043
Barangay 389,City of Manila,PH1303901389,1788.0,1894.8714000603557
Barangay 390,City of Manila,PH1303901390,900.0,3025.062889722018
Barangay 391,City of Manila,PH1303901391,2633.0,2944.6131906667792
Barangay 392,City of Manila,PH1303901392,1115.0,1367.9794932272514
Barangay 393,City of Manila,PH1303901393,4130.0,4304.538587931248
Barangay 394,City of Manila,PH1303901394,1487.0,1229.569775710929
Barangay 306,City of Manila,PH1303901306,1273.0,4675.966067267546
Barangay 307,City of Manila,PH1303901307,1399.0,3346.1841389670294
Barangay 308,City of Manila,PH1303901308,965.0,1848.1403520457463
Barangay 309,City of Manila,PH1303901309,1162.0,2798.7786836904556
Barangay 268,City of Manila,PH1303901268,609.0,2019.6009261250579
Barangay 269,City of Manila,PH1303901269,1095.0,1947.4097377366436
Barangay 270,City of Manila,PH1303901270,954.0,1711.0058935183706
Barangay 271,City of Manila,PH1303901271,1315.0,2834.7913692188704
